date,tmax_celsius,tmean_celsius,precipitation_mm,dewpoint_celsius,high_temp,recent_rain,high_humidity,risk_score
2023-12-01,27.496636962890648,20.519690450032556,0.0017195937971337116,9.423026657104515,False,False,False,0
2023-12-02,30.175286865234398,23.27588043212893,0.0,6.9313280741374115,False,False,False,0
2023-12-03,30.630044555664085,24.03427658081057,0.0,6.341675694783532,False,False,False,0
2023-12-04,31.238763427734398,24.842893218994163,0.07709860801696777,6.3753651936849,False,False,False,0
2023-12-05,31.662515258789085,25.223419443766318,0.9633779524733654,7.012464777628622,True,True,False,2
2023-12-06,26.47742614746096,21.092319107055687,2.6523470878601074,12.704677200317406,False,True,True,2
2023-12-07,23.812539672851585,19.331070200602255,2.8152912855148315,11.219486490885458,False,True,False,1
2023-12-08,29.305932617187523,22.65631701151534,0.03520588973060512,9.479058202107751,False,False,False,0
2023-12-09,31.421365356445335,24.393199539184593,0.014454126358032227,8.040903345743857,False,False,False,0
2023-12-10,20.600823974609398,17.459767913818382,11.835657563153745,14.547806676228845,False,True,True,2
2023-12-11,21.998574829101585,16.798605219523154,21.732333302395546,14.722075398763025,False,True,True,2
2023-12-12,25.723626708984398,19.575296020507835,0.027549266746973444,11.567876434326195,False,False,False,0
2023-12-13,25.099465942382835,19.72463760375979,0.8135616778304211,13.448542531331384,False,True,True,2
2023-12-14,26.918115234375023,20.546153640747093,0.009435415165626182,12.889529800415062,False,False,True,1
2023-12-15,26.123147583007835,20.616091664632165,3.9853572844776863,14.254609044392907,False,True,True,2
2023-12-16,24.453668212890648,20.11390075683596,2.540338039295875,13.45625775655111,False,True,True,2
2023-12-17,26.554116821289085,21.602854029337607,0.14860630034263522,14.464809036254906,False,False,True,1
2023-12-18,28.155206298828148,22.28765004475912,2.860194444622266,16.28940671284994,False,True,True,2
2023-12-19,27.94550476074221,21.799605305989587,7.311463356018066,16.72717437744143,False,True,True,2
2023-12-20,26.415200805664085,21.335494613647484,0.39769113063314876,16.520945485432946,False,False,True,1
2023-12-21,29.432229614257835,23.77031733194991,1.7590224742889404,14.345951970418298,False,True,True,2
2023-12-22,28.130822753906273,22.788924789428734,0.3070116042067639,12.096122996012411,False,False,True,1
2023-12-23,29.380166625976585,23.119602457682333,0.7501959800606528,13.150711949666345,False,True,True,2
2023-12-24,29.214929199218773,23.616786575317406,0.3280134378087496,13.480975087483728,False,False,True,1
2023-12-25,21.103494262695335,18.225542958577478,8.804056048290931,16.03870035807296,False,True,True,2
2023-12-26,23.262353515625023,17.39547500610354,15.19640088071128,13.677747344970726,False,True,True,2
2023-12-27,18.474282836914085,14.650077438354515,2.0064443348815075,10.692085520426474,False,True,False,1
2023-12-28,22.33796081542971,17.279833094279013,2.2596120834350586,11.619190470377646,False,True,False,1
2023-12-29,21.488198852539085,17.26357549031576,1.3458907603194348,11.60125312805178,False,True,False,1
2023-12-30,22.451013183593773,17.888777033487997,0.5995333194732666,12.00210024515792,False,True,True,2
2023-12-31,25.430337524414085,19.27471249898275,6.812059879298005,14.276751454671228,False,True,True,2
2024-01-01,26.337380981445335,20.175273513793968,0.00785589207907833,12.204422251383505,False,False,True,1
2024-01-02,23.470788574218773,19.682877477010095,1.192235946632536,12.546853637695335,False,True,True,2
2024-01-03,24.68860778808596,19.158574676513695,10.974067449467384,15.28398475646975,False,True,True,2
2024-01-04,24.775872802734398,19.814794794718466,0.2117753029438063,13.17534217834475,False,False,True,1
2024-01-05,24.112420654296898,19.511954879760765,2.872347831726074,15.3511679331462,False,True,True,2
2024-01-06,26.63099060058596,20.586555099487327,1.4282047748110926,14.638796106974326,False,True,True,2
2024-01-07,27.755395507812523,21.334354019165062,6.876695156051937,15.676262791951501,False,True,True,2
2024-01-08,25.452310180664085,20.46882336934408,15.394443273539338,16.172708765665732,False,True,True,2
2024-01-09,22.255227661132835,18.868721262613974,8.477917020343284,16.074629084269247,False,True,True,2
2024-01-10,23.31434020996096,19.299187596639,19.99838650044694,16.72632433573409,False,True,True,2
2024-01-11,24.794168090820335,20.036106363932333,4.070267081260681,16.849622980753622,False,True,True,2
2024-01-12,24.701196289062523,20.618944422404013,0.4272758960723877,16.18422088623049,False,False,True,1
2024-01-13,26.111917114257835,21.050176239013695,1.6859620809555054,16.49230219523116,False,True,True,2
2024-01-14,26.162591552734398,21.13813934326174,1.6452074050334886,16.41998443603518,False,True,True,2
2024-01-15,27.388055419921898,22.250024414062523,0.42290985584259033,16.026407496134482,False,False,True,1
2024-01-16,27.44410095214846,21.907101567586267,28.703171014740292,16.781225458780966,False,True,True,2
2024-01-17,23.546914672851585,19.92257143656417,3.6131173371245495,15.932827250162802,False,True,True,2
2024-01-18,19.87262878417971,15.667992528279626,3.311598300928864,10.65218569437667,False,True,False,1
2024-01-19,21.53559265136721,15.685906982421898,0.0,7.5152450561523665,False,False,False,0
2024-01-20,22.58075866699221,16.78095970153811,0.0,7.872109985351585,False,False,False,0
2024-01-21,24.680566406250023,19.58118273417159,0.12356042861938477,10.308882013956747,False,False,False,0
2024-01-22,26.461846923828148,20.96259142557784,0.11595598988378697,11.844457880655966,False,False,False,0
2024-01-23,24.83204040527346,19.945781326293968,0.2507209777782293,12.809647496541345,False,False,True,1
2024-01-24,24.44263610839846,19.67719103495284,0.8689761161804199,13.912091191609704,False,True,True,2
2024-01-25,26.67560729980471,20.826882934570335,2.5541663169406092,14.778458531697595,False,True,True,2
2024-01-26,28.79291687011721,22.423244094848656,0.3841221332550049,14.458315785725915,False,False,True,1
2024-01-27,25.494424438476585,20.576009368896507,2.896130084991455,15.76629219055178,False,True,True,2
2024-01-28,26.05182800292971,20.255612945556663,9.700077772038185,16.553484853108728,False,True,True,2
2024-01-29,26.108026123046898,20.41954701741537,13.194647431362228,17.03691190083822,False,True,True,2
2024-01-30,26.404031372070335,21.50676307678225,0.7599681615815257,15.339743550618493,False,True,True,2
2024-01-31,23.165917968750023,19.077923711140954,0.32688975323935665,12.147163645426474,False,False,True,1
2024-02-01,25.040444946289085,19.215425109863304,0.005546496879560436,11.154245630900107,False,False,False,0
2024-02-02,24.837152099609398,19.647903696696005,0.026214122669898643,11.330104446411156,False,False,False,0
2024-02-03,25.641015625000023,19.716281509399437,2.797590034560926,14.29987233479818,False,True,True,2
2024-02-04,25.19458923339846,20.001865005493187,2.733755111592018,14.929012552897177,False,True,True,2
2024-02-05,27.281152343750023,20.534640884399437,4.823446273803711,15.989953613281273,False,True,True,2
2024-02-06,29.026956176757835,21.76690572102865,0.0008553266184208042,12.439934031168661,False,False,True,1
2024-02-07,30.30915222167971,22.717062250773154,0.0012993227755941916,10.928780492146814,False,False,False,0
2024-02-08,30.800088500976585,24.261352793375693,1.305815209946104,12.555844879150413,False,True,True,2
2024-02-09,28.272973632812523,21.42934951782229,15.397709607970711,17.28770472208663,False,True,True,2
2024-02-10,28.42749938964846,22.023956553141318,0.00693798064688167,13.582479731241904,False,False,True,1
2024-02-11,23.385598754882835,19.084172821044945,1.0230839252471924,14.431850051879906,False,True,True,2
2024-02-12,24.069192504882835,19.365275955200218,0.8118331431319348,14.487268066406273,False,True,True,2
2024-02-13,28.068627929687523,21.707087453206384,0.3646516057642657,14.186380640665732,False,False,True,1
2024-02-14,29.174951171875023,22.722133255004906,0.0814083819022926,13.489401117960654,False,False,True,1
2024-02-15,28.748818969726585,23.012207285563193,0.24968683709403194,13.303647613525413,False,False,True,1
2024-02-16,29.514428710937523,23.48531557718917,0.012800097465515137,11.404419199625693,False,False,False,0
2024-02-17,30.722207641601585,23.606333669026696,0.059258937824324676,11.406929270426474,False,False,False,0
2024-02-18,29.55036315917971,23.113786951700888,9.375005960464478,15.343241628011071,False,True,True,2
2024-02-19,25.076379394531273,20.85584411621096,4.373396091637005,17.037343597412132,False,True,True,2
2024-02-20,26.406701660156273,21.00117899576827,0.5347792321117595,16.404256439209007,False,True,True,2
2024-02-21,28.89350280761721,22.82997856140139,0.0241520015720198,14.652691777547204,False,False,True,1
2024-02-22,27.016030883789085,22.0699179331462,2.989518642323219,15.055367406209314,False,True,True,2
2024-02-23,27.865991210937523,21.974392191569052,1.2012422083671481,15.651558812459314,False,True,True,2
2024-02-24,27.804315185546898,21.314667638142907,5.820969654394048,15.716959253946982,False,True,True,2
2024-02-25,27.45105895996096,22.654189046223962,0.288936803048756,14.911569849650107,False,False,True,1
2024-02-26,28.52655944824221,22.152916208903036,0.5380631732805341,14.706422424316429,False,True,True,2
2024-02-27,22.149255371093773,18.417252477010095,2.1600351082042835,14.339056269327841,False,True,True,2
2024-02-28,22.272973632812523,17.966505304972372,1.3446509838104248,12.755069351196312,False,True,True,2
